Year,C,Survey 1,Survey 2
1916,78.00,,
1917,122.00,,
1918,140.00,,
1919,97.00,,
1920,99.00,,
1921,82.00,,
1922,71.00,,
1923,78.00,,
1924,50.00,,
1925,62.00,,
1926,95.00,,
1927,79.00,,
1928,89.00,,
1929,87.00,,
1930,112.00,,
1931,100.00,,
1932,100.00,,
1933,86.00,,
1934,91.00,,
1935,98.00,,
1936,111.00,,
1937,103.00,,
1938,84.00,,
1939,77.00,,
1940,121.00,,
1941,130.00,,
1942,147.00,,
1943,491.00,,
1944,961.00,,
1945,1621.00,,
1946,1160.00,,
1947,643.00,,
1948,478.00,,
1949,374.00,,
1950,424.00,,
1951,554.00,,
1952,542.00,,
1953,469.00,,
1954,448.00,,
1955,465.00,,
1956,601.00,,
1957,761.00,,
1958,702.00,,
1959,672.00,,
1960,811.00,,
1961,677.00,,
1962,758.00,,
1963,434.00,,
1964,601.00,,
1965,260.00,,
1966,4287.00,,
1967,4821.00,,
1968,2388.00,,
1969,847.00,,
1970,852.00,,
1971,1092.00,,
1972,919.00,,
1973,1156.00,,
1974,903.00,,
1975,872.00,,
1976,1320.00,,
1977,1085.00,,
1978,1569.00,,
1979,9387.00,,
1980,21841.00,7256.00,
1981,27859.00,,
1982,26031.00,,
1983,10442.00,10839.00,
1984,10344.00,,
1985,9331.00,,
1986,9774.00,5847.00,
1987,13094.00,,
1988,10645.00,,
1989,12709.00,3885.00,
1990,10462.00,,
1991,6797.00,,
1992,6412.00,7441.00,
1993,8347.00,,
1994,6717.00,,
1995,6912.00,5885.00,
1996,6320.00,,
1997,6653.00,,
1998,4149.00,9718.00,
1999,4103.00,,
2000,4032.00,,
2001,1962.00,1981.00,
2002,429.00,,
2003,42.00,,7582600.00
2004,87.00,1069.00,372306.00
2005,195.00,,1218323.00
2006,213.00,,1190902.00
2007,240.00,,773443.00
2008,263.00,,217903.00
2009,177.00,,1107686.00
2010,166.00,,1772646.00
2011,200.00,,4784591.00
2012,270.00,,2221772.00
2013,469.00,,11880870.00
2014,722.00,,3341072.00
2015,520.00,,2743758.00
2016,608.00,,31090855.00
2017,4894.00,,10610745.00
2018,9409.00,,7738473.00
2019,9302.00,,
2020,8276.00,,
2021,10754.00,,